Time,Open,High,Low,Last,Change,%Chg,Volume
03/16/2021,26.11,26.93,24.93,25,-0.8,-3.10%,16066600
03/17/2021,24.82,25.1299,24.1501,24.5,-0.5,-2.00%,11580900
03/18/2021,24.3,24.6,23.06,23.1,-1.4,-5.71%,12934900
03/19/2021,23.24,23.64,22.73,23.07,-0.03,-0.13%,12200100
03/22/2021,23.24,23.46,22.84,22.99,-0.08,-0.35%,7821800
03/23/2021,23.33,24.69,22.9601,23.04,0.05,+0.22%,18177300
03/24/2021,23.32,23.57,22.48,22.52,-0.52,-2.26%,9191100
03/25/2021,21.98,22.55,21.7,22.47,-0.05,-0.22%,7982100
03/26/2021,22.3,24.13,22.09,23.91,1.44,+6.41%,12108200
03/29/2021,24.25,27.44,22.81,23.8,-0.11,-0.46%,56445500
03/30/2021,24.05,24.535,23.17,23.2,-0.6,-2.52%,12725400
03/31/2021,23.32,23.57,22.75,23.09,-0.11,-0.47%,11232800
04/01/2021,23.3,23.4,22.54,22.55,-0.54,-2.34%,9795100
04/05/2021,22.76,23.01,22.4,22.44,-0.11,-0.49%,6856300
04/06/2021,22.36,23.43,21.89,22.65,0.21,+0.94%,14545800
04/07/2021,22.7,23.0664,22.3,22.58,-0.07,-0.31%,6649100
04/08/2021,22.6,22.89,22.16,22.57,-0.01,-0.04%,6159000
04/09/2021,22.57,22.88,22.36,22.75,0.18,+0.80%,4592800
04/12/2021,22.75,22.78,21.94,22.17,-0.58,-2.55%,8012200
04/13/2021,22.05,23.09,22.04,22.98,0.81,+3.65%,8521100
04/14/2021,22.78,23.3,22.07,22.25,-0.73,-3.18%,7388400
04/15/2021,22.5,23.09,22.11,22.76,0.51,+2.29%,11444200
04/16/2021,22.55,22.6799,22,22.12,-0.64,-2.81%,6554700
04/19/2021,22.06,22.18,21.57,22.01,-0.11,-0.50%,5849200
04/20/2021,21.97,22.12,21.43,21.67,-0.34,-1.54%,4648700
